Subject,Story,Level,Context,Rating
0,cake,1,1,1.0
0,cake,1,2,7.0
1,cake,1,1,5.0
1,cake,1,2,2.0
2,cake,1,1,6.0
2,cake,1,2,2.0
3,cake,1,1,5.0
3,cake,1,2,4.0
4,cake,1,1,5.0
4,cake,1,2,4.0
5,cake,1,1,6.0
5,cake,1,2,5.0
6,cake,1,1,2.0
6,cake,1,2,1.0
7,cake,1,1,7.0
7,cake,1,2,1.0
8,cake,1,1,4.0
8,cake,1,2,5.0
9,cake,1,1,4.0
9,cake,1,2,6.0
10,cake,1,1,3.0
10,cake,1,2,5.0
11,cake,1,1,4.0
11,cake,1,2,5.0
12,cake,1,1,1.0
12,cake,1,2,1.0
13,cake,1,1,2.0
13,cake,1,2,2.0
14,cake,1,1,1.0
14,cake,1,2,3.0
15,cake,1,1,4.0
15,cake,1,2,4.0
16,cake,1,1,7.0
16,cake,1,2,3.0
17,cake,1,1,2.0
17,cake,1,2,5.0
18,cake,1,1,6.0
18,cake,1,2,5.0
19,cake,1,1,1.0
19,cake,1,2,3.0
20,cake,1,1,6.0
20,cake,1,2,4.0
21,cake,1,1,2.0
21,cake,1,2,2.0
22,cake,1,1,2.0
22,cake,1,2,4.0
23,cake,1,1,3.0
23,cake,1,2,6.0
24,cake,1,1,4.0
24,cake,1,2,1.0
25,cake,1,1,1.0
25,cake,1,2,7.0
26,cake,1,1,2.0
26,cake,1,2,2.0
27,cake,1,1,6.0
27,cake,1,2,2.0
28,cake,1,1,5.0
28,cake,1,2,4.0
29,cake,1,1,1.0
29,cake,1,2,1.0
30,cake,1,1,1.0
30,cake,1,2,6.0
31,cake,1,1,3.0
31,cake,1,2,2.0
32,cake,1,1,1.0
32,cake,1,2,5.0
33,cake,1,1,2.0
33,cake,1,2,3.0
34,cake,1,1,1.0
34,cake,1,2,6.0
35,cake,1,1,5.0
35,cake,1,2,5.0
36,cake,1,1,2.0
36,cake,1,2,7.0
37,cake,1,1,1.0
37,cake,1,2,1.0
38,cake,1,1,6.0
38,cake,1,2,6.0
39,cake,1,1,5.0
39,cake,1,2,1.0
40,cake,1,1,4.0
40,cake,1,2,6.0
41,cake,1,1,3.0
41,cake,1,2,5.0
42,cake,1,1,3.0
42,cake,1,2,3.0
43,cake,1,1,2.0
43,cake,1,2,1.0
44,cake,1,1,6.0
44,cake,1,2,1.0
45,cake,1,1,7.0
45,cake,1,2,5.0
46,cake,1,1,6.0
46,cake,1,2,6.0
47,cake,1,1,2.0
47,cake,1,2,2.0
48,cake,1,1,3.0
48,cake,1,2,1.0
49,cake,1,1,3.0
49,cake,1,2,6.0
50,cake,1,1,1.0
50,cake,1,2,2.0
51,cake,1,1,3.0
51,cake,1,2,3.0
52,cake,1,1,3.0
52,cake,1,2,1.0
53,cake,1,1,5.0
53,cake,1,2,2.0
54,cake,1,1,1.0
54,cake,1,2,4.0
55,cake,1,1,3.0
55,cake,1,2,6.0
56,cake,1,1,1.0
56,cake,1,2,4.0
57,cake,1,1,2.0
57,cake,1,2,1.0
58,cake,1,1,6.0
58,cake,1,2,4.0
59,cake,1,1,7.0
59,cake,1,2,7.0
60,cake,1,1,5.0
60,cake,1,2,2.0
61,cake,1,1,6.0
61,cake,1,2,6.0
0,cake,2,1,4.0
0,cake,2,2,6.0
1,cake,2,1,6.0
1,cake,2,2,3.0
2,cake,2,1,6.0
2,cake,2,2,3.0
3,cake,2,1,5.0
3,cake,2,2,4.0
4,cake,2,1,5.0
4,cake,2,2,4.0
5,cake,2,1,5.0
5,cake,2,2,4.0
6,cake,2,1,3.0
6,cake,2,2,2.0
7,cake,2,1,7.0
7,cake,2,2,2.0
8,cake,2,1,3.0
8,cake,2,2,5.0
9,cake,2,1,5.0
9,cake,2,2,6.0
10,cake,2,1,5.0
10,cake,2,2,5.0
11,cake,2,1,5.0
11,cake,2,2,4.0
12,cake,2,1,3.0
12,cake,2,2,1.0
13,cake,2,1,3.0
13,cake,2,2,3.0
14,cake,2,1,1.0
14,cake,2,2,2.0
15,cake,2,1,4.0
15,cake,2,2,5.0
16,cake,2,1,7.0
16,cake,2,2,4.0
17,cake,2,1,2.0
17,cake,2,2,5.0
18,cake,2,1,6.0
18,cake,2,2,6.0
19,cake,2,1,2.0
19,cake,2,2,1.0
20,cake,2,1,6.0
20,cake,2,2,5.0
21,cake,2,1,4.0
21,cake,2,2,2.0
22,cake,2,1,5.0
22,cake,2,2,6.0
23,cake,2,1,4.0
23,cake,2,2,6.0
24,cake,2,1,2.0
24,cake,2,2,3.0
25,cake,2,1,5.0
25,cake,2,2,5.0
26,cake,2,1,2.0
26,cake,2,2,2.0
27,cake,2,1,7.0
27,cake,2,2,2.0
28,cake,2,1,6.0
28,cake,2,2,5.0
29,cake,2,1,3.0
29,cake,2,2,2.0
30,cake,2,1,1.0
30,cake,2,2,6.0
31,cake,2,1,6.0
31,cake,2,2,4.0
32,cake,2,1,3.0
32,cake,2,2,5.0
33,cake,2,1,3.0
33,cake,2,2,5.0
34,cake,2,1,1.0
34,cake,2,2,7.0
35,cake,2,1,4.0
35,cake,2,2,4.0
36,cake,2,1,3.0
36,cake,2,2,7.0
37,cake,2,1,2.0
37,cake,2,2,3.0
38,cake,2,1,5.0
38,cake,2,2,5.0
39,cake,2,1,6.0
39,cake,2,2,4.0
40,cake,2,1,6.0
40,cake,2,2,6.0
41,cake,2,1,5.0
41,cake,2,2,6.0
42,cake,2,1,4.0
42,cake,2,2,4.0
43,cake,2,1,1.0
43,cake,2,2,1.0
44,cake,2,1,6.0
44,cake,2,2,1.0
45,cake,2,1,7.0
45,cake,2,2,7.0
46,cake,2,1,6.0
46,cake,2,2,6.0
47,cake,2,1,3.0
47,cake,2,2,3.0
48,cake,2,1,4.0
48,cake,2,2,2.0
49,cake,2,1,6.0
49,cake,2,2,3.0
50,cake,2,1,3.0
50,cake,2,2,4.0
51,cake,2,1,3.0
51,cake,2,2,3.0
52,cake,2,1,1.0
52,cake,2,2,1.0
53,cake,2,1,6.0
53,cake,2,2,3.0
54,cake,2,1,1.0
54,cake,2,2,3.0
55,cake,2,1,6.0
55,cake,2,2,6.0
56,cake,2,1,4.0
56,cake,2,2,3.0
57,cake,2,1,3.0
57,cake,2,2,2.0
58,cake,2,1,6.0
58,cake,2,2,4.0
59,cake,2,1,7.0
59,cake,2,2,7.0
60,cake,2,1,5.0
60,cake,2,2,2.0
61,cake,2,1,6.0
61,cake,2,2,6.0
0,cake,3,1,6.0
0,cake,3,2,3.0
1,cake,3,1,7.0
1,cake,3,2,3.0
2,cake,3,1,6.0
2,cake,3,2,4.0
3,cake,3,1,6.0
3,cake,3,2,4.0
4,cake,3,1,5.0
4,cake,3,2,4.0
5,cake,3,1,5.0
5,cake,3,2,2.0
6,cake,3,1,4.0
6,cake,3,2,3.0
7,cake,3,1,7.0
7,cake,3,2,2.0
8,cake,3,1,4.0
8,cake,3,2,5.0
9,cake,3,1,6.0
9,cake,3,2,5.0
10,cake,3,1,6.0
10,cake,3,2,4.0
11,cake,3,1,6.0
11,cake,3,2,5.0
12,cake,3,1,5.0
12,cake,3,2,1.0
13,cake,3,1,3.0
13,cake,3,2,3.0
14,cake,3,1,1.0
14,cake,3,2,1.0
15,cake,3,1,3.0
15,cake,3,2,5.0
16,cake,3,1,7.0
16,cake,3,2,4.0
17,cake,3,1,4.0
17,cake,3,2,4.0
18,cake,3,1,3.0
18,cake,3,2,2.0
19,cake,3,1,2.0
19,cake,3,2,2.0
20,cake,3,1,6.0
20,cake,3,2,5.0
21,cake,3,1,5.0
21,cake,3,2,3.0
22,cake,3,1,6.0
22,cake,3,2,7.0
23,cake,3,1,6.0
23,cake,3,2,7.0
24,cake,3,1,3.0
24,cake,3,2,4.0
25,cake,3,1,4.0
25,cake,3,2,3.0
26,cake,3,1,2.0
26,cake,3,2,2.0
27,cake,3,1,7.0
27,cake,3,2,2.0
28,cake,3,1,7.0
28,cake,3,2,6.0
29,cake,3,1,5.0
29,cake,3,2,2.0
30,cake,3,1,3.0
30,cake,3,2,6.0
31,cake,3,1,1.0
31,cake,3,2,1.0
32,cake,3,1,3.0
32,cake,3,2,3.0
33,cake,3,1,7.0
33,cake,3,2,6.0
34,cake,3,1,2.0
34,cake,3,2,7.0
35,cake,3,1,3.0
35,cake,3,2,3.0
36,cake,3,1,5.0
36,cake,3,2,7.0
37,cake,3,1,3.0
37,cake,3,2,4.0
38,cake,3,1,5.0
38,cake,3,2,5.0
39,cake,3,1,7.0
39,cake,3,2,6.0
40,cake,3,1,7.0
40,cake,3,2,7.0
41,cake,3,1,6.0
41,cake,3,2,7.0
42,cake,3,1,5.0
42,cake,3,2,5.0
43,cake,3,1,1.0
43,cake,3,2,1.0
44,cake,3,1,5.0
44,cake,3,2,3.0
45,cake,3,1,7.0
45,cake,3,2,6.0
46,cake,3,1,7.0
46,cake,3,2,6.0
47,cake,3,1,4.0
47,cake,3,2,4.0
48,cake,3,1,5.0
48,cake,3,2,2.0
49,cake,3,1,7.0
49,cake,3,2,4.0
50,cake,3,1,5.0
50,cake,3,2,4.0
51,cake,3,1,3.0
51,cake,3,2,3.0
52,cake,3,1,1.0
52,cake,3,2,1.0
53,cake,3,1,6.0
53,cake,3,2,3.0
54,cake,3,1,3.0
54,cake,3,2,1.0
55,cake,3,1,7.0
55,cake,3,2,7.0
56,cake,3,1,5.0
56,cake,3,2,3.0
57,cake,3,1,4.0
57,cake,3,2,3.0
58,cake,3,1,7.0
58,cake,3,2,4.0
59,cake,3,1,6.0
59,cake,3,2,6.0
60,cake,3,1,5.0
60,cake,3,2,2.0
61,cake,3,1,5.0
61,cake,3,2,5.0
0,cake,4,1,7.0
0,cake,4,2,7.0
1,cake,4,1,7.0
1,cake,4,2,4.0
2,cake,4,1,6.0
2,cake,4,2,5.0
3,cake,4,1,7.0
3,cake,4,2,6.0
4,cake,4,1,5.0
4,cake,4,2,4.0
5,cake,4,1,6.0
5,cake,4,2,6.0
6,cake,4,1,5.0
6,cake,4,2,5.0
7,cake,4,1,7.0
7,cake,4,2,3.0
8,cake,4,1,5.0
8,cake,4,2,4.0
9,cake,4,1,6.0
9,cake,4,2,4.0
10,cake,4,1,7.0
10,cake,4,2,4.0
11,cake,4,1,2.0
11,cake,4,2,3.0
12,cake,4,1,6.0
12,cake,4,2,5.0
13,cake,4,1,3.0
13,cake,4,2,3.0
14,cake,4,1,1.0
14,cake,4,2,1.0
15,cake,4,1,5.0
15,cake,4,2,5.0
16,cake,4,1,7.0
16,cake,4,2,4.0
17,cake,4,1,6.0
17,cake,4,2,4.0
18,cake,4,1,3.0
18,cake,4,2,3.0
19,cake,4,1,7.0
19,cake,4,2,3.0
20,cake,4,1,6.0
20,cake,4,2,6.0
21,cake,4,1,5.0
21,cake,4,2,4.0
22,cake,4,1,7.0
22,cake,4,2,7.0
23,cake,4,1,7.0
23,cake,4,2,7.0
24,cake,4,1,5.0
24,cake,4,2,4.0
25,cake,4,1,7.0
25,cake,4,2,1.0
26,cake,4,1,4.0
26,cake,4,2,4.0
27,cake,4,1,7.0
27,cake,4,2,4.0
28,cake,4,1,7.0
28,cake,4,2,7.0
29,cake,4,1,7.0
29,cake,4,2,2.0
30,cake,4,1,6.0
30,cake,4,2,5.0
31,cake,4,1,1.0
31,cake,4,2,1.0
32,cake,4,1,6.0
32,cake,4,2,5.0
33,cake,4,1,7.0
33,cake,4,2,6.0
34,cake,4,1,1.0
34,cake,4,2,6.0
35,cake,4,1,2.0
35,cake,4,2,2.0
36,cake,4,1,7.0
36,cake,4,2,7.0
37,cake,4,1,7.0
37,cake,4,2,7.0
38,cake,4,1,6.0
38,cake,4,2,6.0
39,cake,4,1,7.0
39,cake,4,2,5.0
40,cake,4,1,7.0
40,cake,4,2,7.0
41,cake,4,1,7.0
41,cake,4,2,7.0
42,cake,4,1,5.0
42,cake,4,2,5.0
43,cake,4,1,1.0
43,cake,4,2,1.0
44,cake,4,1,4.0
44,cake,4,2,3.0
45,cake,4,1,7.0
45,cake,4,2,6.0
46,cake,4,1,7.0
46,cake,4,2,6.0
47,cake,4,1,5.0
47,cake,4,2,5.0
48,cake,4,1,6.0
48,cake,4,2,2.0
49,cake,4,1,7.0
49,cake,4,2,5.0
50,cake,4,1,7.0
50,cake,4,2,6.0
51,cake,4,1,3.0
51,cake,4,2,3.0
52,cake,4,1,1.0
52,cake,4,2,1.0
53,cake,4,1,7.0
53,cake,4,2,3.0
54,cake,4,1,7.0
54,cake,4,2,1.0
55,cake,4,1,7.0
55,cake,4,2,1.0
56,cake,4,1,6.0
56,cake,4,2,4.0
57,cake,4,1,5.0
57,cake,4,2,4.0
58,cake,4,1,7.0
58,cake,4,2,4.0
59,cake,4,1,5.0
59,cake,4,2,5.0
60,cake,4,1,4.0
60,cake,4,2,2.0
61,cake,4,1,5.0
61,cake,4,2,5.0
0,cake,5,1,7.0
0,cake,5,2,7.0
1,cake,5,1,7.0
1,cake,5,2,4.0
2,cake,5,1,6.0
2,cake,5,2,6.0
3,cake,5,1,7.0
3,cake,5,2,6.0
4,cake,5,1,5.0
4,cake,5,2,4.0
5,cake,5,1,7.0
5,cake,5,2,7.0
6,cake,5,1,7.0
6,cake,5,2,5.0
7,cake,5,1,7.0
7,cake,5,2,3.0
8,cake,5,1,5.0
8,cake,5,2,4.0
9,cake,5,1,5.0
9,cake,5,2,4.0
10,cake,5,1,7.0
10,cake,5,2,5.0
11,cake,5,1,1.0
11,cake,5,2,1.0
12,cake,5,1,7.0
12,cake,5,2,7.0
13,cake,5,1,2.0
13,cake,5,2,2.0
14,cake,5,1,1.0
14,cake,5,2,1.0
15,cake,5,1,5.0
15,cake,5,2,6.0
16,cake,5,1,7.0
16,cake,5,2,4.0
17,cake,5,1,7.0
17,cake,5,2,2.0
18,cake,5,1,2.0
18,cake,5,2,2.0
19,cake,5,1,7.0
19,cake,5,2,7.0
20,cake,5,1,6.0
20,cake,5,2,6.0
21,cake,5,1,6.0
21,cake,5,2,4.0
22,cake,5,1,7.0
22,cake,5,2,7.0
23,cake,5,1,7.0
23,cake,5,2,7.0
24,cake,5,1,5.0
24,cake,5,2,5.0
25,cake,5,1,7.0
25,cake,5,2,1.0
26,cake,5,1,2.0
26,cake,5,2,2.0
27,cake,5,1,7.0
27,cake,5,2,5.0
28,cake,5,1,7.0
28,cake,5,2,7.0
29,cake,5,1,1.0
29,cake,5,2,1.0
30,cake,5,1,7.0
30,cake,5,2,5.0
31,cake,5,1,1.0
31,cake,5,2,1.0
32,cake,5,1,6.0
32,cake,5,2,6.0
33,cake,5,1,7.0
33,cake,5,2,6.0
34,cake,5,1,1.0
34,cake,5,2,7.0
35,cake,5,1,1.0
35,cake,5,2,1.0
36,cake,5,1,7.0
36,cake,5,2,7.0
37,cake,5,1,7.0
37,cake,5,2,7.0
38,cake,5,1,4.0
38,cake,5,2,2.0
39,cake,5,1,7.0
39,cake,5,2,7.0
40,cake,5,1,7.0
40,cake,5,2,7.0
41,cake,5,1,7.0
41,cake,5,2,7.0
42,cake,5,1,6.0
42,cake,5,2,6.0
43,cake,5,1,1.0
43,cake,5,2,1.0
44,cake,5,1,3.0
44,cake,5,2,5.0
45,cake,5,1,7.0
45,cake,5,2,6.0
46,cake,5,1,7.0
46,cake,5,2,6.0
47,cake,5,1,6.0
47,cake,5,2,6.0
48,cake,5,1,7.0
48,cake,5,2,2.0
49,cake,5,1,7.0
49,cake,5,2,7.0
50,cake,5,1,7.0
50,cake,5,2,6.0
51,cake,5,1,3.0
51,cake,5,2,3.0
52,cake,5,1,1.0
52,cake,5,2,1.0
53,cake,5,1,7.0
53,cake,5,2,2.0
54,cake,5,1,7.0
54,cake,5,2,2.0
55,cake,5,1,7.0
55,cake,5,2,2.0
56,cake,5,1,7.0
56,cake,5,2,3.0
57,cake,5,1,6.0
57,cake,5,2,5.0
58,cake,5,1,7.0
58,cake,5,2,4.0
59,cake,5,1,5.0
59,cake,5,2,5.0
60,cake,5,1,4.0
60,cake,5,2,2.0
61,cake,5,1,5.0
61,cake,5,2,5.0
0,movie,1,1,1.0
0,movie,1,2,4.0
1,movie,1,1,2.0
1,movie,1,2,2.0
2,movie,1,1,2.0
2,movie,1,2,2.0
3,movie,1,1,1.0
3,movie,1,2,2.0
4,movie,1,1,3.0
4,movie,1,2,3.0
5,movie,1,1,2.0
5,movie,1,2,2.0
6,movie,1,1,3.0
6,movie,1,2,3.0
7,movie,1,1,4.0
7,movie,1,2,5.0
8,movie,1,1,2.0
8,movie,1,2,3.0
9,movie,1,1,1.0
9,movie,1,2,1.0
10,movie,1,1,1.0
10,movie,1,2,1.0
11,movie,1,1,4.0
11,movie,1,2,3.0
12,movie,1,1,1.0
12,movie,1,2,7.0
13,movie,1,1,1.0
13,movie,1,2,2.0
14,movie,1,1,3.0
14,movie,1,2,3.0
15,movie,1,1,1.0
15,movie,1,2,1.0
16,movie,1,1,2.0
16,movie,1,2,2.0
17,movie,1,1,1.0
17,movie,1,2,7.0
18,movie,1,1,2.0
18,movie,1,2,1.0
19,movie,1,1,7.0
19,movie,1,2,2.0
20,movie,1,1,3.0
20,movie,1,2,3.0
21,movie,1,1,1.0
21,movie,1,2,3.0
22,movie,1,1,2.0
22,movie,1,2,2.0
23,movie,1,1,1.0
23,movie,1,2,2.0
24,movie,1,1,1.0
24,movie,1,2,1.0
25,movie,1,1,1.0
25,movie,1,2,7.0
26,movie,1,1,4.0
26,movie,1,2,4.0
27,movie,1,1,2.0
27,movie,1,2,2.0
28,movie,1,1,1.0
28,movie,1,2,2.0
29,movie,1,1,2.0
29,movie,1,2,1.0
30,movie,1,1,1.0
30,movie,1,2,2.0
31,movie,1,1,2.0
31,movie,1,2,3.0
32,movie,1,1,1.0
32,movie,1,2,1.0
33,movie,1,1,1.0
33,movie,1,2,3.0
34,movie,1,1,3.0
34,movie,1,2,4.0
35,movie,1,1,6.0
35,movie,1,2,1.0
36,movie,1,1,1.0
36,movie,1,2,1.0
37,movie,1,1,1.0
37,movie,1,2,5.0
38,movie,1,1,2.0
38,movie,1,2,2.0
39,movie,1,1,4.0
39,movie,1,2,6.0
40,movie,1,1,1.0
40,movie,1,2,1.0
41,movie,1,1,1.0
41,movie,1,2,2.0
42,movie,1,1,1.0
42,movie,1,2,1.0
43,movie,1,1,3.0
43,movie,1,2,3.0
44,movie,1,1,2.0
44,movie,1,2,3.0
45,movie,1,1,2.0
45,movie,1,2,5.0
46,movie,1,1,2.0
46,movie,1,2,2.0
47,movie,1,1,6.0
47,movie,1,2,6.0
48,movie,1,1,2.0
48,movie,1,2,2.0
49,movie,1,1,1.0
49,movie,1,2,2.0
50,movie,1,1,2.0
50,movie,1,2,3.0
51,movie,1,1,3.0
51,movie,1,2,2.0
52,movie,1,1,4.0
52,movie,1,2,6.0
53,movie,1,1,1.0
53,movie,1,2,4.0
54,movie,1,1,1.0
54,movie,1,2,1.0
55,movie,1,1,1.0
55,movie,1,2,7.0
56,movie,1,1,1.0
56,movie,1,2,2.0
57,movie,1,1,3.0
57,movie,1,2,3.0
58,movie,1,1,2.0
58,movie,1,2,4.0
59,movie,1,1,2.0
59,movie,1,2,2.0
60,movie,1,1,2.0
60,movie,1,2,4.0
61,movie,1,1,1.0
61,movie,1,2,1.0
0,movie,2,1,2.0
0,movie,2,2,4.0
1,movie,2,1,3.0
1,movie,2,2,2.0
2,movie,2,1,1.0
2,movie,2,2,1.0
3,movie,2,1,2.0
3,movie,2,2,3.0
4,movie,2,1,3.0
4,movie,2,2,3.0
5,movie,2,1,3.0
5,movie,2,2,2.0
6,movie,2,1,3.0
6,movie,2,2,4.0
7,movie,2,1,3.0
7,movie,2,2,1.0
8,movie,2,1,1.0
8,movie,2,2,3.0
9,movie,2,1,1.0
9,movie,2,2,1.0
10,movie,2,1,2.0
10,movie,2,2,1.0
11,movie,2,1,2.0
11,movie,2,2,2.0
12,movie,2,1,2.0
12,movie,2,2,6.0
13,movie,2,1,2.0
13,movie,2,2,2.0
14,movie,2,1,3.0
14,movie,2,2,3.0
15,movie,2,1,1.0
15,movie,2,2,1.0
16,movie,2,1,3.0
16,movie,2,2,3.0
17,movie,2,1,1.0
17,movie,2,2,6.0
18,movie,2,1,3.0
18,movie,2,2,1.0
19,movie,2,1,7.0
19,movie,2,2,2.0
20,movie,2,1,2.0
20,movie,2,2,2.0
21,movie,2,1,2.0
21,movie,2,2,4.0
22,movie,2,1,6.0
22,movie,2,2,6.0
23,movie,2,1,1.0
23,movie,2,2,3.0
24,movie,2,1,1.0
24,movie,2,2,1.0
25,movie,2,1,3.0
25,movie,2,2,7.0
26,movie,2,1,3.0
26,movie,2,2,4.0
27,movie,2,1,4.0
27,movie,2,2,3.0
28,movie,2,1,2.0
28,movie,2,2,2.0
29,movie,2,1,2.0
29,movie,2,2,1.0
30,movie,2,1,1.0
30,movie,2,2,2.0
31,movie,2,1,2.0
31,movie,2,2,3.0
32,movie,2,1,2.0
32,movie,2,2,2.0
33,movie,2,1,1.0
33,movie,2,2,3.0
34,movie,2,1,4.0
34,movie,2,2,4.0
35,movie,2,1,5.0
35,movie,2,2,1.0
36,movie,2,1,3.0
36,movie,2,2,3.0
37,movie,2,1,1.0
37,movie,2,2,7.0
38,movie,2,1,2.0
38,movie,2,2,2.0
39,movie,2,1,2.0
39,movie,2,2,2.0
40,movie,2,1,2.0
40,movie,2,2,2.0
41,movie,2,1,3.0
41,movie,2,2,2.0
42,movie,2,1,2.0
42,movie,2,2,2.0
43,movie,2,1,4.0
43,movie,2,2,4.0
44,movie,2,1,3.0
44,movie,2,2,3.0
45,movie,2,1,2.0
45,movie,2,2,7.0
46,movie,2,1,2.0
46,movie,2,2,2.0
47,movie,2,1,7.0
47,movie,2,2,7.0
48,movie,2,1,2.0
48,movie,2,2,2.0
49,movie,2,1,3.0
49,movie,2,2,3.0
50,movie,2,1,2.0
50,movie,2,2,2.0
51,movie,2,1,4.0
51,movie,2,2,2.0
52,movie,2,1,4.0
52,movie,2,2,5.0
53,movie,2,1,2.0
53,movie,2,2,4.0
54,movie,2,1,1.0
54,movie,2,2,1.0
55,movie,2,1,2.0
55,movie,2,2,5.0
56,movie,2,1,1.0
56,movie,2,2,3.0
57,movie,2,1,4.0
57,movie,2,2,4.0
58,movie,2,1,3.0
58,movie,2,2,5.0
59,movie,2,1,2.0
59,movie,2,2,2.0
60,movie,2,1,3.0
60,movie,2,2,4.0
61,movie,2,1,2.0
61,movie,2,2,2.0
0,movie,3,1,3.0
0,movie,3,2,4.0
1,movie,3,1,4.0
1,movie,3,2,3.0
2,movie,3,1,2.0
2,movie,3,2,2.0
3,movie,3,1,3.0
3,movie,3,2,4.0
4,movie,3,1,2.0
4,movie,3,2,2.0
5,movie,3,1,2.0
5,movie,3,2,1.0
6,movie,3,1,5.0
6,movie,3,2,5.0
7,movie,3,1,2.0
7,movie,3,2,1.0
8,movie,3,1,2.0
8,movie,3,2,2.0
9,movie,3,1,2.0
9,movie,3,2,2.0
10,movie,3,1,2.0
10,movie,3,2,1.0
11,movie,3,1,3.0
11,movie,3,2,2.0
12,movie,3,1,3.0
12,movie,3,2,5.0
13,movie,3,1,3.0
13,movie,3,2,3.0
14,movie,3,1,2.0
14,movie,3,2,2.0
15,movie,3,1,1.0
15,movie,3,2,1.0
16,movie,3,1,4.0
16,movie,3,2,4.0
17,movie,3,1,2.0
17,movie,3,2,5.0
18,movie,3,1,4.0
18,movie,3,2,1.0
19,movie,3,1,7.0
19,movie,3,2,3.0
20,movie,3,1,2.0
20,movie,3,2,2.0
21,movie,3,1,2.0
21,movie,3,2,4.0
22,movie,3,1,7.0
22,movie,3,2,7.0
23,movie,3,1,2.0
23,movie,3,2,2.0
24,movie,3,1,1.0
24,movie,3,2,1.0
25,movie,3,1,5.0
25,movie,3,2,7.0
26,movie,3,1,2.0
26,movie,3,2,2.0
27,movie,3,1,4.0
27,movie,3,2,3.0
28,movie,3,1,4.0
28,movie,3,2,2.0
29,movie,3,1,1.0
29,movie,3,2,1.0
30,movie,3,1,1.0
30,movie,3,2,3.0
31,movie,3,1,2.0
31,movie,3,2,3.0
32,movie,3,1,2.0
32,movie,3,2,2.0
33,movie,3,1,2.0
33,movie,3,2,3.0
34,movie,3,1,2.0
34,movie,3,2,2.0
35,movie,3,1,5.0
35,movie,3,2,1.0
36,movie,3,1,2.0
36,movie,3,2,2.0
37,movie,3,1,1.0
37,movie,3,2,5.0
38,movie,3,1,4.0
38,movie,3,2,3.0
39,movie,3,1,1.0
39,movie,3,2,6.0
40,movie,3,1,3.0
40,movie,3,2,3.0
41,movie,3,1,3.0
41,movie,3,2,3.0
42,movie,3,1,4.0
42,movie,3,2,4.0
43,movie,3,1,3.0
43,movie,3,2,3.0
44,movie,3,1,2.0
44,movie,3,2,2.0
45,movie,3,1,3.0
45,movie,3,2,7.0
46,movie,3,1,1.0
46,movie,3,2,1.0
47,movie,3,1,7.0
47,movie,3,2,7.0
48,movie,3,1,2.0
48,movie,3,2,2.0
49,movie,3,1,4.0
49,movie,3,2,4.0
50,movie,3,1,3.0
50,movie,3,2,4.0
51,movie,3,1,4.0
51,movie,3,2,2.0
52,movie,3,1,2.0
52,movie,3,2,4.0
53,movie,3,1,3.0
53,movie,3,2,4.0
54,movie,3,1,2.0
54,movie,3,2,2.0
55,movie,3,1,4.0
55,movie,3,2,4.0
56,movie,3,1,2.0
56,movie,3,2,5.0
57,movie,3,1,5.0
57,movie,3,2,5.0
