Subject,Story,Level,Context,Prediction,T_val
1,cake,1,Non-Social,10.0,10.0
1,cake,2,Non-Social,25.0,20.0
1,cake,3,Non-Social,40.0,35.0
1,cake,4,Non-Social,60.0,50.0
1,cake,5,Non-Social,80.0,70.0
2,cake,1,Non-Social,20.0,10.0
2,cake,2,Non-Social,20.0,20.0
2,cake,3,Non-Social,50.0,35.0
2,cake,4,Non-Social,50.0,50.0
2,cake,5,Non-Social,80.0,70.0
3,cake,1,Non-Social,40.0,10.0
3,cake,2,Non-Social,40.0,20.0
3,cake,3,Non-Social,40.0,35.0
3,cake,4,Non-Social,60.0,50.0
3,cake,5,Non-Social,90.0,70.0
4,cake,1,Non-Social,20.0,10.0
4,cake,2,Non-Social,20.0,20.0
4,cake,3,Non-Social,40.0,35.0
4,cake,4,Non-Social,50.0,50.0
4,cake,5,Non-Social,70.0,70.0
5,cake,1,Non-Social,30.0,10.0
5,cake,2,Non-Social,30.0,20.0
5,cake,3,Non-Social,35.0,35.0
5,cake,4,Non-Social,51.0,50.0
5,cake,5,Non-Social,80.0,70.0
6,cake,1,Non-Social,40.0,10.0
6,cake,2,Non-Social,40.0,20.0
6,cake,3,Non-Social,40.0,35.0
6,cake,4,Non-Social,60.0,50.0
6,cake,5,Non-Social,100.0,70.0
7,cake,1,Non-Social,10.0,10.0
7,cake,2,Non-Social,20.0,20.0
7,cake,3,Non-Social,35.0,35.0
7,cake,4,Non-Social,50.0,50.0
7,cake,5,Non-Social,120.0,70.0
8,cake,1,Non-Social,25.0,10.0
8,cake,2,Non-Social,21.0,20.0
8,cake,3,Non-Social,35.0,35.0
8,cake,4,Non-Social,50.0,50.0
8,cake,5,Non-Social,70.0,70.0
9,cake,1,Non-Social,30.0,10.0
9,cake,2,Non-Social,30.0,20.0
9,cake,3,Non-Social,40.0,35.0
9,cake,4,Non-Social,90.0,50.0
9,cake,5,Non-Social,80.0,70.0
10,cake,1,Non-Social,30.0,10.0
10,cake,2,Non-Social,30.0,20.0
10,cake,3,Non-Social,45.0,35.0
10,cake,4,Non-Social,60.0,50.0
10,cake,5,Non-Social,120.0,70.0
11,cake,1,Non-Social,20.0,10.0
11,cake,2,Non-Social,30.0,20.0
11,cake,3,Non-Social,40.0,35.0
11,cake,4,Non-Social,50.0,50.0
11,cake,5,Non-Social,70.0,70.0
12,cake,1,Non-Social,25.0,10.0
12,cake,2,Non-Social,25.0,20.0
12,cake,3,Non-Social,35.0,35.0
12,cake,4,Non-Social,50.0,50.0
12,cake,5,Non-Social,70.0,70.0
13,cake,1,Non-Social,10.0,10.0
13,cake,2,Non-Social,20.0,20.0
13,cake,3,Non-Social,40.0,35.0
13,cake,4,Non-Social,60.0,50.0
13,cake,5,Non-Social,80.0,70.0
14,cake,1,Non-Social,45.0,10.0
14,cake,2,Non-Social,35.0,20.0
14,cake,3,Non-Social,50.0,35.0
14,cake,4,Non-Social,80.0,50.0
14,cake,5,Non-Social,90.0,70.0
15,cake,1,Non-Social,30.0,10.0
15,cake,2,Non-Social,40.0,20.0
15,cake,3,Non-Social,60.0,35.0
15,cake,4,Non-Social,70.0,50.0
15,cake,5,Non-Social,100.0,70.0
16,cake,1,Non-Social,30.0,10.0
16,cake,2,Non-Social,30.0,20.0
16,cake,3,Non-Social,40.0,35.0
16,cake,4,Non-Social,60.0,50.0
16,cake,5,Non-Social,90.0,70.0
17,cake,1,Non-Social,50.0,10.0
17,cake,2,Non-Social,50.0,20.0
17,cake,3,Non-Social,50.0,35.0
17,cake,4,Non-Social,50.0,50.0
17,cake,5,Non-Social,80.0,70.0
18,cake,1,Non-Social,45.0,10.0
18,cake,2,Non-Social,40.0,20.0
18,cake,3,Non-Social,40.0,35.0
18,cake,4,Non-Social,60.0,50.0
18,cake,5,Non-Social,120.0,70.0
19,cake,1,Non-Social,45.0,10.0
19,cake,2,Non-Social,45.0,20.0
19,cake,3,Non-Social,45.0,35.0
19,cake,4,Non-Social,60.0,50.0
19,cake,5,Non-Social,75.0,70.0
20,cake,1,Non-Social,20.0,10.0
20,cake,2,Non-Social,30.0,20.0
20,cake,3,Non-Social,60.0,35.0
20,cake,4,Non-Social,60.0,50.0
20,cake,5,Non-Social,120.0,70.0
21,cake,1,Non-Social,30.0,10.0
21,cake,2,Non-Social,40.0,20.0
21,cake,3,Non-Social,55.0,35.0
21,cake,4,Non-Social,70.0,50.0
21,cake,5,Non-Social,90.0,70.0
22,cake,1,Non-Social,15.0,10.0
22,cake,2,Non-Social,25.0,20.0
22,cake,3,Non-Social,40.0,35.0
22,cake,4,Non-Social,60.0,50.0
22,cake,5,Non-Social,90.0,70.0
23,cake,1,Non-Social,60.0,10.0
23,cake,2,Non-Social,60.0,20.0
23,cake,3,Non-Social,60.0,35.0
23,cake,4,Non-Social,60.0,50.0
23,cake,5,Non-Social,90.0,70.0
24,cake,1,Non-Social,20.0,10.0
24,cake,2,Non-Social,25.0,20.0
24,cake,3,Non-Social,40.0,35.0
24,cake,4,Non-Social,55.0,50.0
24,cake,5,Non-Social,75.0,70.0
25,cake,1,Non-Social,40.0,10.0
25,cake,2,Non-Social,40.0,20.0
25,cake,3,Non-Social,40.0,35.0
25,cake,4,Non-Social,60.0,50.0
25,cake,5,Non-Social,80.0,70.0
26,cake,1,Non-Social,45.0,10.0
26,cake,2,Non-Social,45.0,20.0
26,cake,3,Non-Social,45.0,35.0
26,cake,4,Non-Social,50.0,50.0
26,cake,5,Non-Social,70.0,70.0
27,cake,1,Non-Social,25.0,10.0
27,cake,2,Non-Social,25.0,20.0
27,cake,3,Non-Social,35.0,35.0
27,cake,4,Non-Social,50.0,50.0
27,cake,5,Non-Social,70.0,70.0
28,cake,1,Non-Social,40.0,10.0
28,cake,2,Non-Social,40.0,20.0
28,cake,3,Non-Social,45.0,35.0
28,cake,4,Non-Social,60.0,50.0
28,cake,5,Non-Social,80.0,70.0
29,cake,1,Non-Social,15.0,10.0
29,cake,2,Non-Social,25.0,20.0
29,cake,3,Non-Social,40.0,35.0
29,cake,4,Non-Social,50.0,50.0
29,cake,5,Non-Social,72.0,70.0
30,cake,1,Non-Social,30.0,10.0
30,cake,2,Non-Social,30.0,20.0
30,cake,3,Non-Social,40.0,35.0
30,cake,4,Non-Social,60.0,50.0
30,cake,5,Non-Social,80.0,70.0
31,cake,1,Non-Social,40.0,10.0
31,cake,2,Non-Social,20.0,20.0
31,cake,3,Non-Social,45.0,35.0
31,cake,4,Non-Social,50.0,50.0
31,cake,5,Non-Social,75.0,70.0
32,cake,1,Non-Social,20.0,10.0
32,cake,2,Non-Social,25.0,20.0
32,cake,3,Non-Social,40.0,35.0
32,cake,4,Non-Social,60.0,50.0
32,cake,5,Non-Social,90.0,70.0
33,cake,1,Non-Social,15.0,10.0
33,cake,2,Non-Social,25.0,20.0
33,cake,3,Non-Social,35.0,35.0
33,cake,4,Non-Social,50.0,50.0
33,cake,5,Non-Social,70.0,70.0
34,cake,1,Non-Social,40.0,10.0
34,cake,2,Non-Social,40.0,20.0
34,cake,3,Non-Social,40.0,35.0
34,cake,4,Non-Social,60.0,50.0
34,cake,5,Non-Social,75.0,70.0
35,cake,1,Non-Social,20.0,10.0
35,cake,2,Non-Social,30.0,20.0
35,cake,3,Non-Social,40.0,35.0
35,cake,4,Non-Social,60.0,50.0
35,cake,5,Non-Social,80.0,70.0
36,cake,1,Non-Social,10.0,10.0
36,cake,2,Non-Social,20.0,20.0
36,cake,3,Non-Social,35.0,35.0
36,cake,4,Non-Social,50.0,50.0
36,cake,5,Non-Social,70.0,70.0
37,cake,1,Non-Social,30.0,10.0
37,cake,2,Non-Social,30.0,20.0
37,cake,3,Non-Social,45.0,35.0
37,cake,4,Non-Social,60.0,50.0
37,cake,5,Non-Social,100.0,70.0
38,cake,1,Non-Social,25.0,10.0
38,cake,2,Non-Social,25.0,20.0
38,cake,3,Non-Social,45.0,35.0
38,cake,4,Non-Social,60.0,50.0
38,cake,5,Non-Social,90.0,70.0
39,cake,1,Non-Social,10.0,10.0
39,cake,2,Non-Social,30.0,20.0
39,cake,3,Non-Social,45.0,35.0
39,cake,4,Non-Social,60.0,50.0
39,cake,5,Non-Social,80.0,70.0
40,cake,1,Non-Social,40.0,10.0
40,cake,2,Non-Social,40.0,20.0
40,cake,3,Non-Social,40.0,35.0
40,cake,4,Non-Social,60.0,50.0
40,cake,5,Non-Social,80.0,70.0
41,cake,1,Non-Social,50.0,10.0
41,cake,2,Non-Social,50.0,20.0
41,cake,3,Non-Social,50.0,35.0
41,cake,4,Non-Social,60.0,50.0
41,cake,5,Non-Social,90.0,70.0
42,cake,1,Non-Social,50.0,10.0
42,cake,2,Non-Social,50.0,20.0
42,cake,3,Non-Social,50.0,35.0
42,cake,4,Non-Social,50.0,50.0
42,cake,5,Non-Social,80.0,70.0
43,cake,1,Non-Social,30.0,10.0
43,cake,2,Non-Social,30.0,20.0
43,cake,3,Non-Social,60.0,35.0
43,cake,4,Non-Social,60.0,50.0
43,cake,5,Non-Social,90.0,70.0
44,cake,1,Non-Social,25.0,10.0
44,cake,2,Non-Social,25.0,20.0
44,cake,3,Non-Social,40.0,35.0
44,cake,4,Non-Social,60.0,50.0
44,cake,5,Non-Social,75.0,70.0
45,cake,1,Non-Social,10.0,10.0
45,cake,2,Non-Social,25.0,20.0
45,cake,3,Non-Social,40.0,35.0
45,cake,4,Non-Social,60.0,50.0
45,cake,5,Non-Social,80.0,70.0
46,cake,1,Non-Social,20.0,10.0
46,cake,2,Non-Social,30.0,20.0
46,cake,3,Non-Social,40.0,35.0
46,cake,4,Non-Social,50.0,50.0
46,cake,5,Non-Social,90.0,70.0
47,cake,1,Non-Social,15.0,10.0
47,cake,2,Non-Social,20.0,20.0
47,cake,3,Non-Social,40.0,35.0
47,cake,4,Non-Social,60.0,50.0
47,cake,5,Non-Social,80.0,70.0
48,cake,1,Non-Social,70.0,10.0
48,cake,2,Non-Social,70.0,20.0
48,cake,3,Non-Social,80.0,35.0
48,cake,4,Non-Social,100.0,50.0
48,cake,5,Non-Social,100.0,70.0
49,cake,1,Non-Social,18.0,10.0
49,cake,2,Non-Social,24.0,20.0
49,cake,3,Non-Social,38.0,35.0
49,cake,4,Non-Social,60.0,50.0
49,cake,5,Non-Social,90.0,70.0
50,cake,1,Non-Social,10.0,10.0
50,cake,2,Non-Social,21.0,20.0
50,cake,3,Non-Social,37.0,35.0
50,cake,4,Non-Social,50.0,50.0
50,cake,5,Non-Social,72.0,70.0
51,cake,1,Non-Social,60.0,10.0
51,cake,2,Non-Social,60.0,20.0
51,cake,3,Non-Social,60.0,35.0
51,cake,4,Non-Social,60.0,50.0
51,cake,5,Non-Social,75.0,70.0
52,cake,1,Non-Social,40.0,10.0
52,cake,2,Non-Social,40.0,20.0
52,cake,3,Non-Social,40.0,35.0
52,cake,4,Non-Social,60.0,50.0
52,cake,5,Non-Social,90.0,70.0
53,cake,1,Non-Social,20.0,10.0
53,cake,2,Non-Social,20.0,20.0
53,cake,3,Non-Social,40.0,35.0
53,cake,4,Non-Social,55.0,50.0
53,cake,5,Non-Social,80.0,70.0
54,cake,1,Non-Social,20.0,10.0
54,cake,2,Non-Social,25.0,20.0
54,cake,3,Non-Social,40.0,35.0
54,cake,4,Non-Social,60.0,50.0
54,cake,5,Non-Social,80.0,70.0
55,cake,1,Non-Social,10.0,10.0
55,cake,2,Non-Social,20.0,20.0
55,cake,3,Non-Social,35.0,35.0
55,cake,4,Non-Social,50.0,50.0
55,cake,5,Non-Social,70.0,70.0
56,cake,1,Non-Social,45.0,10.0
56,cake,2,Non-Social,45.0,20.0
56,cake,3,Non-Social,45.0,35.0
56,cake,4,Non-Social,60.0,50.0
56,cake,5,Non-Social,70.0,70.0
57,cake,1,Non-Social,20.0,10.0
57,cake,2,Non-Social,30.0,20.0
57,cake,3,Non-Social,35.0,35.0
57,cake,4,Non-Social,50.0,50.0
57,cake,5,Non-Social,70.0,70.0
58,cake,1,Non-Social,30.0,10.0
58,cake,2,Non-Social,35.0,20.0
58,cake,3,Non-Social,35.0,35.0
58,cake,4,Non-Social,60.0,50.0
58,cake,5,Non-Social,70.0,70.0
59,cake,1,Non-Social,30.0,10.0
59,cake,2,Non-Social,30.0,20.0
59,cake,3,Non-Social,60.0,35.0
59,cake,4,Non-Social,60.0,50.0
59,cake,5,Non-Social,90.0,70.0
60,cake,1,Non-Social,10.0,10.0
60,cake,2,Non-Social,20.0,20.0
60,cake,3,Non-Social,35.0,35.0
60,cake,4,Non-Social,50.0,50.0
60,cake,5,Non-Social,70.0,70.0
61,cake,1,Non-Social,10.0,10.0
61,cake,2,Non-Social,30.0,20.0
61,cake,3,Non-Social,45.0,35.0
61,cake,4,Non-Social,50.0,50.0
61,cake,5,Non-Social,70.0,70.0
62,cake,1,Non-Social,25.0,10.0
62,cake,2,Non-Social,25.0,20.0
62,cake,3,Non-Social,40.0,35.0
62,cake,4,Non-Social,60.0,50.0
62,cake,5,Non-Social,85.0,70.0
63,cake,1,Non-Social,23.0,10.0
63,cake,2,Non-Social,27.0,20.0
63,cake,3,Non-Social,42.0,35.0
63,cake,4,Non-Social,53.0,50.0
63,cake,5,Non-Social,90.0,70.0
64,cake,1,Non-Social,12.0,10.0
64,cake,2,Non-Social,30.0,20.0
64,cake,3,Non-Social,50.0,35.0
64,cake,4,Non-Social,60.0,50.0
64,cake,5,Non-Social,90.0,70.0
65,cake,1,Non-Social,25.0,10.0
65,cake,2,Non-Social,25.0,20.0
65,cake,3,Non-Social,40.0,35.0
65,cake,4,Non-Social,60.0,50.0
65,cake,5,Non-Social,75.0,70.0
66,cake,1,Non-Social,15.0,10.0
66,cake,2,Non-Social,20.0,20.0
66,cake,3,Non-Social,40.0,35.0
66,cake,4,Non-Social,51.0,50.0
66,cake,5,Non-Social,80.0,70.0
67,cake,1,Non-Social,45.0,10.0
67,cake,2,Non-Social,45.0,20.0
67,cake,3,Non-Social,45.0,35.0
67,cake,4,Non-Social,60.0,50.0
67,cake,5,Non-Social,90.0,70.0
68,cake,1,Non-Social,30.0,10.0
68,cake,2,Non-Social,30.0,20.0
68,cake,3,Non-Social,45.0,35.0
68,cake,4,Non-Social,60.0,50.0
68,cake,5,Non-Social,90.0,70.0
69,cake,1,Non-Social,60.0,10.0
69,cake,2,Non-Social,60.0,20.0
69,cake,3,Non-Social,60.0,35.0
69,cake,4,Non-Social,60.0,50.0
69,cake,5,Non-Social,80.0,70.0
70,cake,1,Non-Social,25.0,10.0
70,cake,2,Non-Social,30.0,20.0
70,cake,3,Non-Social,45.0,35.0
70,cake,4,Non-Social,60.0,50.0
70,cake,5,Non-Social,100.0,70.0
71,cake,1,Non-Social,30.0,10.0
71,cake,2,Non-Social,30.0,20.0
71,cake,3,Non-Social,40.0,35.0
71,cake,4,Non-Social,60.0,50.0
71,cake,5,Non-Social,90.0,70.0
72,cake,1,Non-Social,20.0,10.0
72,cake,2,Non-Social,30.0,20.0
72,cake,3,Non-Social,40.0,35.0
72,cake,4,Non-Social,60.0,50.0
72,cake,5,Non-Social,75.0,70.0
73,cake,1,Non-Social,30.0,10.0
73,cake,2,Non-Social,45.0,20.0
73,cake,3,Non-Social,45.0,35.0
73,cake,4,Non-Social,60.0,50.0
73,cake,5,Non-Social,90.0,70.0
74,cake,1,Non-Social,30.0,10.0
74,cake,2,Non-Social,30.0,20.0
74,cake,3,Non-Social,45.0,35.0
74,cake,4,Non-Social,60.0,50.0
74,cake,5,Non-Social,80.0,70.0
75,cake,1,Non-Social,10.0,10.0
75,cake,2,Non-Social,20.0,20.0
75,cake,3,Non-Social,35.0,35.0
75,cake,4,Non-Social,50.0,50.0
75,cake,5,Non-Social,70.0,70.0
76,cake,1,Non-Social,30.0,10.0
76,cake,2,Non-Social,30.0,20.0
76,cake,3,Non-Social,45.0,35.0
76,cake,4,Non-Social,60.0,50.0
76,cake,5,Non-Social,90.0,70.0
77,cake,1,Non-Social,30.0,10.0
77,cake,2,Non-Social,28.0,20.0
77,cake,3,Non-Social,40.0,35.0
77,cake,4,Non-Social,60.0,50.0
77,cake,5,Non-Social,85.0,70.0
78,cake,1,Non-Social,10.0,10.0
78,cake,2,Non-Social,20.0,20.0
78,cake,3,Non-Social,35.0,35.0
78,cake,4,Non-Social,50.0,50.0
78,cake,5,Non-Social,70.0,70.0
79,cake,1,Non-Social,120.0,10.0
79,cake,2,Non-Social,120.0,20.0
79,cake,3,Non-Social,120.0,35.0
79,cake,4,Non-Social,120.0,50.0
79,cake,5,Non-Social,120.0,70.0
80,cake,1,Non-Social,20.0,10.0
80,cake,2,Non-Social,30.0,20.0
80,cake,3,Non-Social,50.0,35.0
80,cake,4,Non-Social,60.0,50.0
80,cake,5,Non-Social,90.0,70.0
81,cake,1,Non-Social,30.0,10.0
81,cake,2,Non-Social,30.0,20.0
81,cake,3,Non-Social,50.0,35.0
81,cake,4,Non-Social,60.0,50.0
81,cake,5,Non-Social,120.0,70.0
82,cake,1,Non-Social,10.0,10.0
82,cake,2,Non-Social,25.0,20.0
82,cake,3,Non-Social,35.0,35.0
82,cake,4,Non-Social,60.0,50.0
82,cake,5,Non-Social,90.0,70.0
83,cake,1,Non-Social,30.0,10.0
83,cake,2,Non-Social,30.0,20.0
83,cake,3,Non-Social,40.0,35.0
83,cake,4,Non-Social,50.0,50.0
83,cake,5,Non-Social,75.0,70.0
84,cake,1,Non-Social,45.0,10.0
84,cake,2,Non-Social,45.0,20.0
84,cake,3,Non-Social,45.0,35.0
84,cake,4,Non-Social,60.0,50.0
84,cake,5,Non-Social,90.0,70.0
85,cake,1,Non-Social,20.0,10.0
85,cake,2,Non-Social,30.0,20.0
85,cake,3,Non-Social,45.0,35.0
85,cake,4,Non-Social,60.0,50.0
85,cake,5,Non-Social,90.0,70.0
86,cake,1,Non-Social,25.0,10.0
86,cake,2,Non-Social,45.0,20.0
86,cake,3,Non-Social,45.0,35.0
86,cake,4,Non-Social,60.0,50.0
86,cake,5,Non-Social,90.0,70.0
87,cake,1,Non-Social,30.0,10.0
87,cake,2,Non-Social,30.0,20.0
87,cake,3,Non-Social,40.0,35.0
87,cake,4,Non-Social,60.0,50.0
87,cake,5,Non-Social,90.0,70.0
88,cake,1,Non-Social,20.0,10.0
88,cake,2,Non-Social,20.0,20.0
88,cake,3,Non-Social,35.0,35.0
88,cake,4,Non-Social,50.0,50.0
88,cake,5,Non-Social,70.0,70.0
89,cake,1,Non-Social,10.0,10.0
89,cake,2,Non-Social,20.0,20.0
89,cake,3,Non-Social,35.0,35.0
89,cake,4,Non-Social,50.0,50.0
89,cake,5,Non-Social,70.0,70.0
90,cake,1,Non-Social,25.0,10.0
90,cake,2,Non-Social,30.0,20.0
90,cake,3,Non-Social,45.0,35.0
90,cake,4,Non-Social,50.0,50.0
90,cake,5,Non-Social,70.0,70.0
91,cake,1,Non-Social,15.0,10.0
91,cake,2,Non-Social,30.0,20.0
91,cake,3,Non-Social,35.0,35.0
91,cake,4,Non-Social,50.0,50.0
91,cake,5,Non-Social,90.0,70.0
92,cake,1,Non-Social,36.0,10.0
92,cake,2,Non-Social,36.0,20.0
92,cake,3,Non-Social,36.0,35.0
92,cake,4,Non-Social,50.0,50.0
92,cake,5,Non-Social,70.0,70.0
93,cake,1,Non-Social,60.0,10.0
93,cake,2,Non-Social,50.0,20.0
93,cake,3,Non-Social,55.0,35.0
93,cake,4,Non-Social,60.0,50.0
93,cake,5,Non-Social,80.0,70.0
94,cake,1,Non-Social,25.0,10.0
94,cake,2,Non-Social,30.0,20.0
94,cake,3,Non-Social,190.0,35.0
94,cake,4,Non-Social,60.0,50.0
94,cake,5,Non-Social,190.0,70.0
95,cake,1,Non-Social,60.0,10.0
95,cake,2,Non-Social,50.0,20.0
95,cake,3,Non-Social,80.0,35.0
95,cake,4,Non-Social,60.0,50.0
95,cake,5,Non-Social,120.0,70.0
96,cake,1,Non-Social,30.0,10.0
96,cake,2,Non-Social,40.0,20.0
96,cake,3,Non-Social,40.0,35.0
96,cake,4,Non-Social,60.0,50.0
96,cake,5,Non-Social,90.0,70.0
97,cake,1,Non-Social,30.0,10.0
97,cake,2,Non-Social,45.0,20.0
97,cake,3,Non-Social,60.0,35.0
97,cake,4,Non-Social,60.0,50.0
97,cake,5,Non-Social,90.0,70.0
98,cake,1,Non-Social,30.0,10.0
98,cake,2,Non-Social,30.0,20.0
98,cake,3,Non-Social,45.0,35.0
98,cake,4,Non-Social,60.0,50.0
98,cake,5,Non-Social,90.0,70.0
99,cake,1,Non-Social,40.0,10.0
99,cake,2,Non-Social,40.0,20.0
99,cake,3,Non-Social,40.0,35.0
99,cake,4,Non-Social,60.0,50.0
99,cake,5,Non-Social,130.0,70.0
100,cake,1,Non-Social,45.0,10.0
100,cake,2,Non-Social,45.0,20.0
100,cake,3,Non-Social,45.0,35.0
100,cake,4,Non-Social,60.0,50.0
100,cake,5,Non-Social,80.0,70.0
101,cake,1,Non-Social,40.0,10.0
101,cake,2,Non-Social,50.0,20.0
101,cake,3,Non-Social,65.0,35.0
101,cake,4,Non-Social,80.0,50.0
101,cake,5,Non-Social,120.0,70.0
102,cake,1,Non-Social,90.0,10.0
102,cake,2,Non-Social,90.0,20.0
102,cake,3,Non-Social,90.0,35.0
102,cake,4,Non-Social,90.0,50.0
102,cake,5,Non-Social,90.0,70.0
103,cake,1,Non-Social,50.0,10.0
103,cake,2,Non-Social,50.0,20.0
103,cake,3,Non-Social,50.0,35.0
103,cake,4,Non-Social,50.0,50.0
103,cake,5,Non-Social,90.0,70.0
104,cake,1,Non-Social,30.0,10.0
104,cake,2,Non-Social,30.0,20.0
104,cake,3,Non-Social,60.0,35.0
104,cake,4,Non-Social,60.0,50.0
104,cake,5,Non-Social,90.0,70.0
105,cake,1,Non-Social,40.0,10.0
105,cake,2,Non-Social,40.0,20.0
105,cake,3,Non-Social,40.0,35.0
105,cake,4,Non-Social,90.0,50.0
105,cake,5,Non-Social,90.0,70.0
106,cake,1,Non-Social,20.0,10.0
106,cake,2,Non-Social,35.0,20.0
106,cake,3,Non-Social,40.0,35.0
106,cake,4,Non-Social,55.0,50.0
106,cake,5,Non-Social,75.0,70.0
107,cake,1,Non-Social,30.0,10.0
107,cake,2,Non-Social,20.0,20.0
107,cake,3,Non-Social,40.0,35.0
107,cake,4,Non-Social,50.0,50.0
107,cake,5,Non-Social,90.0,70.0
108,cake,1,Non-Social,35.0,10.0
108,cake,2,Non-Social,25.0,20.0
108,cake,3,Non-Social,36.0,35.0
108,cake,4,Non-Social,55.0,50.0
108,cake,5,Non-Social,75.0,70.0
109,cake,1,Non-Social,20.0,10.0
109,cake,2,Non-Social,30.0,20.0
109,cake,3,Non-Social,45.0,35.0
109,cake,4,Non-Social,60.0,50.0
109,cake,5,Non-Social,75.0,70.0
110,cake,1,Non-Social,45.0,10.0
110,cake,2,Non-Social,45.0,20.0
110,cake,3,Non-Social,45.0,35.0
110,cake,4,Non-Social,90.0,50.0
110,cake,5,Non-Social,90.0,70.0
111,cake,1,Non-Social,30.0,10.0
111,cake,2,Non-Social,30.0,20.0
111,cake,3,Non-Social,40.0,35.0
111,cake,4,Non-Social,60.0,50.0
111,cake,5,Non-Social,70.0,70.0
112,cake,1,Non-Social,25.0,10.0
112,cake,2,Non-Social,25.0,20.0
112,cake,3,Non-Social,40.0,35.0
112,cake,4,Non-Social,60.0,50.0
112,cake,5,Non-Social,80.0,70.0
113,cake,1,Non-Social,40.0,10.0
113,cake,2,Non-Social,40.0,20.0
113,cake,3,Non-Social,40.0,35.0
113,cake,4,Non-Social,60.0,50.0
113,cake,5,Non-Social,120.0,70.0
114,cake,1,Non-Social,15.0,10.0
114,cake,2,Non-Social,30.0,20.0
114,cake,3,Non-Social,45.0,35.0
114,cake,4,Non-Social,60.0,50.0
114,cake,5,Non-Social,75.0,70.0
115,cake,1,Non-Social,25.0,10.0
115,cake,2,Non-Social,25.0,20.0
115,cake,3,Non-Social,40.0,35.0
115,cake,4,Non-Social,50.0,50.0
115,cake,5,Non-Social,70.0,70.0
116,cake,1,Non-Social,40.0,10.0
116,cake,2,Non-Social,40.0,20.0
116,cake,3,Non-Social,40.0,35.0
116,cake,4,Non-Social,50.0,50.0
116,cake,5,Non-Social,70.0,70.0
117,cake,1,Non-Social,20.0,10.0
117,cake,2,Non-Social,30.0,20.0
117,cake,3,Non-Social,40.0,35.0
117,cake,4,Non-Social,60.0,50.0
117,cake,5,Non-Social,120.0,70.0
118,cake,1,Non-Social,35.0,10.0
118,cake,2,Non-Social,35.0,20.0
118,cake,3,Non-Social,35.0,35.0
118,cake,4,Non-Social,60.0,50.0
118,cake,5,Non-Social,120.0,70.0
119,cake,1,Non-Social,10.0,10.0
119,cake,2,Non-Social,20.0,20.0
