"session","created","modified","ended","expired","pPROLIFIC_PID","pSTUDY_ID","pSESSION_ID","calculate_cake","cakeL1C1R0","cakeL1C2R0","cakeL1C1R1","cakeL1C2R1","cakeL2C1R0","cakeL2C2R0","cakeL2C1R1","cakeL2C2R1","cakeL3C1R0","cakeL3C2R0","cakeL3C1R1","cakeL3C2R1","cakeL4C1R0","cakeL4C2R0","cakeL4C1R1","cakeL4C2R1","cakeL5C1R0","cakeL5C2R0","cakeL5C1R1","cakeL5C2R1","calculate_movie","movieL1C1R0","movieL1C2R0","movieL1C1R1","movieL1C2R1","movieL2C1R0","movieL2C2R0","movieL2C1R1","movieL2C2R1","movieL3C1R0","movieL3C2R0","movieL3C1R1","movieL3C2R1","movieL4C1R0","movieL4C2R0","movieL4C1R1","movieL4C2R1","movieL5C1R0","movieL5C2R0","movieL5C1R1","movieL5C2R1","calculate_podcast","podcastL1C1R0","podcastL1C2R0","podcastL1C3R0","podcastL1C1R1","podcastL1C2R1","podcastL1C3R1","podcastL1C1R2","podcastL1C2R2","podcastL1C3R2","podcastL2C1R0","podcastL2C2R0","podcastL2C3R0","podcastL2C1R1","podcastL2C2R1","podcastL2C3R1","podcastL2C1R2","podcastL2C2R2","podcastL2C3R2","podcastL3C1R0","podcastL3C2R0","podcastL3C3R0","podcastL3C1R1","podcastL3C2R1","podcastL3C3R1","podcastL3C1R2","podcastL3C2R2","podcastL3C3R2","podcastL4C1R0","podcastL4C2R0","podcastL4C3R0","podcastL4C1R1","podcastL4C2R1","podcastL4C3R1","podcastL4C1R2","podcastL4C2R2","podcastL4C3R2","podcastL5C1R0","podcastL5C2R0","podcastL5C3R0","podcastL5C1R1","podcastL5C2R1","podcastL5C3R1","podcastL5C1R2","podcastL5C2R2","podcastL5C3R2","attentionCheck","feedback"
"","2021-11-11 20:47:40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6_7tfT5XQYV0vjJr9o5GBsVLZz6FeHOY4ElrISC4SXMb6DCQw1yXHAuWXxkQCUUr","2021-11-11 20:53:36","2021-11-11 20:57:09","2021-11-11 20:57:09","","5f1c38856ad5234ab56127ba","61859b25bd7adb0136ee8403","618d74b9f68bbb743b4f2734","[2,1]","","3","3","","","3","3","","","3","5","","","5","7","","","5","5","","[1,2]","2","","","1","2","","","1","2","","","1","4","","","1","5","","","1","[3,1,2]","","","2","2","","","","2","","","","3","3","","","","3","","","","3","5","","","","5","","","","3","7","","","","7","","","","3","7","","","","7","","4",""
"N0KGAFludKSlIEAfTytTGEYifvlrUVM92oQ8OTrKfIU16WfRvZ0Nc5NebUKHUQKV","2021-11-11 20:53:37","2021-11-11 21:00:24","2021-11-11 21:00:24","","60ff7016e9a3ae1f7fbc4aa4","61859b25bd7adb0136ee8403","618d74ba1ae7d645713d1af9","[2,1]","","4","7","","","5","7","","","7","7","","","7","7","","","7","7","","[2,1]","","5","7","","","3","4","","","3","5","","","7","7","","","7","7","","[3,2,1]","","","2","","1","","1","","","","","3","","4","","2","","","","","5","","6","","7","","","","","7","","7","","7","","","","","7","","7","","7","","","4",""
"R5Xpo6J7mgLEdH0vsaxZKGSgGDTuh9g-l9lvihwyHOFeDdx9UqGMl2QyHfrgSz_j","2021-11-11 20:56:28","2021-11-11 21:10:22","2021-11-11 21:10:22","","6164179b41ce0f005655dbde","61859b25bd7adb0136ee8403","618d75498210438509055d26","[2,1]","","5","3","","","6","4","","","7","5","","","7","6","","","7","7","","[2,1]","","3","3","","","4","4","","","3","3","","","2","2","","","2","2","","[2,1,3]","","3","","1","","","","","4","","5","","5","","","","","6","","6","","7","","","","","6","","6","","7","","","","","6","","7","","7","","","","","7","4",""
"1KzEy7-b5CXc35KEQw3XJZnkVLZluTjPK3lWPKld1n8Yr3ZvYFUaSRdPd36yBL9f","2021-11-11 20:57:13","2021-11-11 21:04:06","2021-11-11 21:04:06","","61622414145e1376169571dd","61859b25bd7adb0136ee8403","618d758897b73f0e90f49e51","[2,1]","","1","5","","","2","7","","","3","7","","","3","7","","","3","7","","[1,2]","1","","","1","3","","","2","2","","","2","2","","","2","3","","","3","[1,3,2]","2","","","","","5","","1","","7","","","","","7","","7","","7","","","","","7","","7","","7","","","","","7","","7","","7","","","","","7","","7","","4",""
"7YmSmw2Z9_ScSZT76t62Y415g5xFGSG3r84SihHdjQyian9YURTNEI_q91Hsh_mE","2021-11-11 21:01:00","2021-11-11 21:08:42","2021-11-11 21:08:42","","5fb639fdd6a30e2be7a51f11","61859b25bd7adb0136ee8403","618d766db0a53724c9890e99","[2,1]","","7","1","","","7","1","","","7","6","","","6","7","","","7","7","","[1,2]","3","","","3","5","","","5","6","","","6","6","","","6","6","","","6","[1,3,2]","2","","","","","5","","5","","5","","","","","5","","5","","6","","","","","6","","6","","4","","","","","5","","5","","4","","","","","5","","5","","4",""
"vC0x1sYyD3pbHNVhKKQ69z5kCS-wV8tPIuJBzk8N-EL0n-c1Whn0DO2WpAYU2Aes","2021-11-11 21:04:19","2021-11-11 21:06:51","2021-11-11 21:06:51","","57b98fa835624400013d6932","61859b25bd7adb0136ee8403","618d773d4134a62acdd5c4d1","[2,1]","","5","5","","","5","5","","","5","5","","","5","5","","","5","5","","[2,1]","","3","2","","","5","2","","","5","1","","","6","6","","","6","6","","[3,1,2]","","","6","2","","","","1","","","","3","3","","","","3","","","","2","5","","","","5","","","","2","6","","","","6","","","","1","6","","","","6","","4",""
"PaxOgJn1IoKsMVS08eLzgOLJWxJrbCSwkTdyyV_p6Otq9vYmWOSBz5s8BPCFl_ZK","2021-11-11 21:06:09","2021-11-11 21:09:12","2021-11-11 21:09:12","","5dc3dd5984799a2bf697cb17","61859b25bd7adb0136ee8403","618d77ad672733395c5a084b","[2,1]","","4","4","","","4","4","","","5","5","","","5","5","","","6","6","","[1,2]","3","","","3","4","","","4","2","","","2","2","","","2","1","","","1","[3,1,2]","","","4","4","","","","2","","","","4","4","","","","4","","","","4","4","","","","4","","","","5","6","","","","7","","","","6","7","","","","7","","4","no"
"18BprSjW3vQ_FQO7UzfCS1HkpGzu7dB4wcO-nCY_jJb1AdnTSfszULSkPxbkmWvL","2021-11-11 21:06:31","2021-11-11 21:11:55","2021-11-11 21:11:55","","61688fad358de828341e1e8b","61859b25bd7adb0136ee8403","618d778f18153cf7827c5b0d","[2,1]","","3","7","","","7","7","","","7","7","","","1","7","","","1","7","","[1,2]","1","","","1","1","","","1","4","","","4","7","","","7","7","","","7","[1,3,2]","7","","","","","7","","1","","7","","","","","7","","7","","4","","","","","4","","7","","1","","","","","7","","7","","1","","","","","1","","7","","4","no"
"uiS1DK6K1-kRJoKbRD16NEeVsUWgysP0XDKeL5gDb5YSUOfac8kTQBS31vX8R9TK","2021-11-11 21:07:25","2021-11-11 21:11:04","2021-11-11 21:11:04","","614a8981d7f7b48dbc706a4e","61859b25bd7adb0136ee8403","618d77e352b29d5dccb6b007","[2,1]","","3","1","","","2","3","","","1","1","","","1","1","","","2","1","","[2,1]","","4","1","","","4","1","","","3","1","","","3","1","","","2","2","","[1,2,3]","2","","","","3","","","","2","3","","","","4","","","","2","5","","","","6","","","","2","7","","","","7","","","","2","7","","","","7","","","","2","4",""
"KurTNsDvcORlHNn9zqs9ER4LGzpcSz6MEsrkUgCEvpS4dlVja35gQ4-Bm9fO9tnM","2021-11-11 21:07:47","2021-11-11 21:10:23","2021-11-11 21:10:23","","5e98c5bb0d2c3a105229f8dd","61859b25bd7adb0136ee8403","618d780854de9057a5b84c3e","[1,2]","5","","","5","6","","","6","6","","","6","6","","","6","6","","","6","[2,1]","","5","5","","","5","5","","","6","6","","","6","6","","","6","6","","[3,1,2]","","","5","5","","","","5","","","","5","5","","","","5","","","","6","6","","","","6","","","","6","6","","","","6","","","","6","6","","","","6","","4",""
"VX8F5_WMo74qJ5gBfmZXNoryALlQHeYpSttdahqXzGWxKbGiq_4xEd9myVrAM7Mu","2021-11-11 21:08:24","2021-11-11 21:13:18","2021-11-11 21:13:18","","615cd46525bccb9aebe87719","61859b25bd7adb0136ee8403","618d782fd799e280682e8544","[2,1]","","4","4","","","4","5","","","4","6","","","6","6","","","6","6","","[2,1]","","1","2","","","2","3","","","2","3","","","4","4","","","5","5","","[1,3,2]","1","","","","","1","","4","","4","","","","","3","","5","","5","","","","","2","","6","","6","","","","","2","","6","","6","","","","","1","","6","","4",""
"45UwCSdB9C9g_QEOvDJOQw35Haw2RIJAe_J4H_MXDFJ3mGyS6SQR827jnOfnGpOE","2021-11-11 21:09:23","2021-11-11 21:23:09","2021-11-11 21:23:09","","61695db0cc100597e0eca6eb","61859b25bd7adb0136ee8403","618d78680f86c8cc2454ae3a","[1,2]","2","","","6","2","","","5","2","","","4","2","","","4","2","","","3","[2,1]","","2","2","","","2","2","","","1","3","","","1","4","","","1","5","","[2,3,1]","","2","","","","2","2","","","","3","","","","6","2","","","","6","","","","5","3","","","","6","","","","6","5","","","","6","","","","6","5","","","4","The baking question, I am not really a baker or a task I often do so found that a bit confusing. Podcasts have different times and with apps like tick-tock some people's podcast information is condensed into  shorter time period so it's kind of relative to one's own experience."
"A4-USSWFUmoT_ie5ghMILpoKLOvkZK_TxPyXFjYDHZJQcRpRpjZeC5q5bYKo0iyt","2021-11-11 21:11:15","2021-11-11 21:30:00","2021-11-11 21:30:00","","617456b6098b0fb33926a8cb","61859b25bd7adb0136ee8403","618d78d16a9cbfe825e8772f","[2,1]","","3","7","","","4","4","","","3","5","","","4","5","","","4","6","","[2,1]","","3","3","","","2","2","","","1","1","","","1","1","","","1","1","","[3,1,2]","","","4","3","","","","2","","","","4","3","","","","3","","","","1","2","","","","5","","","","4","2","","","","5","","","","4","5","","","","3","","4",""
"PcqcUTIaOyE5X0AV_iTcvPMNhdPfdwjSaYmIACjDq4sF-TpY-F-wEILT4VZ4pNAs","2021-11-11 21:12:46","2021-11-11 21:26:14","2021-11-11 21:26:14","","611cd635e48d962ebe9f48e2","61859b25bd7adb0136ee8403","618d78e1a6dfc85034b93f0c","[1,2]","1","","","1","1","","","1","1","","","1","1","","","1","1","","","1","[1,2]","1","","","1","1","","","7","5","","","7","7","","","7","7","","","7","[3,1,2]","","","5","2","","","","7","","","","6","3","","","","7","","","","7","7","","","","7","","","","7","7","","","","6","","","","7","7","","","","4","","4","No issues.

"
"vzzqDQ5UavzfNFL_pXpaI3KsEZYOUevrnO7HdNld9cQIMJ8RlvxKJ5Ik7v0eavI2","2021-11-11 21:13:25","2021-11-11 21:19:55","2021-11-11 21:19:55","","616e8bf62e4db53dabbe76b9","61859b25bd7adb0136ee8403","618d795cc54b507dfdd0dfdf","[1,2]","1","","","4","5","","","4","7","","","4","7","","","5","7","","","5","[2,1]","","1","2","","","1","1","","","1","1","","","2","2","","","3","3","","[2,1,3]","","2","","2","","","","","4","","5","","4","","","","","4","","6","","6","","","","","3","","7","","7","","","","","2","","7","","7","","","","","1","4",""
"IlxaJPCCRkmLubPfUYs99dvMgzJtgGfQ7X0XlgWmbqhIFJDtSjOIbPKnIsTB6XVW","2021-11-11 22:15:22","2021-11-11 22:20:11","2021-11-11 22:20:11","","6110e5a255444d0f5610c8a3","61859b25bd7adb0136ee8403","618d87db760f2735c0a470f2","[2,1]","","4","1","","","1","1","","","1","5","","","6","6","","","1","4","","[2,1]","","1","1","","","1","1","","","1","1","","","2","2","","","5","5","","[1,3,2]","4","","","","","4","","4","","4","","","","","4","","4","","4","","","","","4","","4","","4","","","","","4","","4","","4","","","","","4","","4","","4",""
"ZbiVHUw3RJO4w4B8YVteJPJTMn48ILj1va194OLXDRHf4X6qKhfcQpDOuDviYroQ","2021-11-13 21:35:32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n-74wq6sd5Lt2ACEmNkfBZLCSDvVEJ1BHwh1qD6gLYNfLUmZ0YPNlei2ZwpH1LHd","2021-11-15 01:56:58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
